Symbol,Name,Qty,Cost,Market_Value
"דולר ארה""ב","דולר ארה""ב",12.78,42.7,42.37
INT'L BUSI(IBM),INT'L BUSI(IBM),11.0,6143.2,10515.41
MICROSOFT(MSFT),MICROSOFT(MSFT),25.0,27407.4,42875.38
NVIDIA(NVDA),NVIDIA(NVDA),43.0,13056.62,26744.29
סקופ,סקופ,139.0,21402.09,21948.1
פמס,פמס,45.0,6564.45,8685.0
מטרקס,מטריקס,209.0,16859.16,24996.4
מחשר,מיחשוב ישר קב,64.0,18288.1,29420.8
מזטפ,מזרחי טפחות,93.0,11438.95,19809.0
J.P. MORGAN(JPM,J.P. MORGAN(JPM,22.0,13386.17,22610.49
VISA INC (V US),VISA INC (V US),24.0,24430.5,27833.27
ASML HOL(ASML),ASML HOL(ASML),11.0,26868.52,37639.9
קלטו,קווליטאו,10.0,3893.7,4658.0
אטרא,אטראו שוקי הון,70.0,3824.75,5407.5
נקסנ,נקסט ויז'ן,177.0,8269.42,26373.0
25  -‬מס תקבולים,25  -‬מס תקבולים,90.1,0.0,90.1
LB US,LB US,30.0,7553.66,5635.83
PLTR US,PLTR US,48.0,6465.22,27538.9
MAIN STREE(MAIN,MAIN STREE(MAIN,52.0,8368.68,10853.04
TEXAS PACIF(TPL,TEXAS PACIF(TPL,5.0,11466.46,15678.13
TESLA MOT(TSLA),TESLA MOT(TSLA),23.0,17371.25,32772.39
GOOG US,GOOG US,59.0,29091.15,48201.92
SCHG US,SCHG US,33.0,3324.43,3510.49
