Symbol,Name,Qty,Curr,Invested
695437,מזרחי טפחות,10.0,₪,127581.82
507012,מיחשוב ישר קב,32.0,₪,873330.02
445015,מטריקס,41.0,₪,303710.81
288019,סקופ,57.0,₪,762273.9
99028,B USD/ILS 3.450,8026.35,₪,2928003.38
83994467,תP001580M207-35,2.0,₪,1200.0
9993983,מגן מס,10216.09,₪,1021609.0
84047356,תP001560M209-35,3.0,₪,750.0
9992983,מס לשלם,8794.1,₪,879410.0
1096106,אטראו שוקי הון,70.0,₪,381770.0
84954106,תP001560M407-35,3.0,₪,144.0
1176593,נקסט ויז'ן,177.0,₪,825767.0
315010,פמס,45.0,₪,655270.0
1083955,קווליטאו,10.0,₪,388900.0
JPM,J.P. MORGAN(JPM,12.0,$,2308.93
MSFT,MICROSOFT(MSFT),6.0,$,2460.45
MAIN,MAIN STREE(MAIN,52.0,$,2368.96
GOOG,GOOG US,40.0,$,7603.26
TSLA,TESLA MOT(TSLA),23.0,$,4775.05
V,VISA INC (V US),24.0,$,6577.95
TPL,TEXAS PACIF(TPL,1.0,$,869.38
PLTR,PLTR US,48.0,$,1738.38
LB,LB US,30.0,$,2081.13
ASML,ASML HOL(ASML),11.0,$,7481.4
