date,security_name,transaction_type,quantity,execution_price,amount_local_currency
2022-05-01,תכ.תלבונדשקלי,הפקדה,500.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,810.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,690.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,1100.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,1080.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,1040.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,520.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,900.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,1200.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,2677.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,811.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,590.0,374.53,0.0
2022-05-01,תכ.תלבונדשקלי,הפקדה,590.0,374.53,0.0
2022-05-01,מור השקעות,הפקדה,150.0,1261.0,0.0
2022-05-01,מור השקעות,הפקדה,80.0,1261.0,0.0
2022-05-01,אילקס מדיקל,הפקדה,6.0,13070.0,0.0
2022-05-01,אילקס מדיקל,הפקדה,8.0,13070.0,0.0
2022-05-01,אילקס מדיקל,הפקדה,6.0,13070.0,0.0
2022-05-01,אילקס מדיקל,הפקדה,8.0,13070.0,0.0
2022-05-01,אילקס מדיקל,הפקדה,16.0,13070.0,0.0
2022-05-01,מזרחי טפחות,הפקדה,65.0,12170.0,0.0
2022-05-01,מזרחי טפחות,הפקדה,18.0,12170.0,0.0
2022-05-01,מיחשוב ישר קב,הפקדה,7.0,29800.0,0.0
2022-05-01,מיחשוב ישר קב,הפקדה,4.0,29800.0,0.0
2022-05-01,מיחשוב ישר קב,הפקדה,11.0,29800.0,0.0
2022-05-01,מיחשוב ישר קב,הפקדה,1.0,29800.0,0.0
2022-05-01,מיחשוב ישר קב,הפקדה,9.0,29800.0,0.0
2022-05-01,מטריקס,הפקדה,25.0,8300.0,0.0
2022-05-01,מטריקס,הפקדה,22.0,8300.0,0.0
2022-05-01,מטריקס,הפקדה,32.0,8300.0,0.0
2022-05-01,מטריקס,הפקדה,28.0,8300.0,0.0
2022-05-01,מטריקס,הפקדה,61.0,8300.0,0.0
2022-05-01,סקופ,הפקדה,12.0,17090.0,0.0
2022-05-01,סקופ,הפקדה,4.0,17090.0,0.0
2022-05-01,סקופ,הפקדה,14.0,17090.0,0.0
2022-05-01,סקופ,הפקדה,15.0,17090.0,0.0
2022-05-01,סקופ,הפקדה,37.0,17090.0,0.0
2022-06-01,מגן מס,הפקדה,364.62,100.0,0.0
2022-09-01,אילקס מדיקל,קניה רצף,25.0,7996.0,-2001.35
2022-09-01,מיחשוב ישר קב,קניה רצף,6.0,32830.0,-1972.15
2022-11-01,ר.חובה 10/22 רג:07.58 חר:07.58,ריבית מזומן בשח,0.0,0.0,-5.88
2022-12-01,תP001500M302-35,מכירה מעוף,2.0,100.0,195.0
2022-05-02,הפקדה לבנק לישראל אגוד ב,העברה מזומן בשח,0.0,0.0,11950.0
2022-06-02,תP001580M208-35,מכירה מעוף,1.0,300.0,297.5
2022-06-02,תP001580M208-35,מכירה מעוף,1.0,300.0,297.5
2022-10-02,מגדלי תיכון,קניה רצף,196.0,1019.0,-1999.59
2022-07-03,מס עתידי,הפקדה,27.65,100.0,0.0
2022-08-03,מס עתידי,משיכה,596.52,100.0,0.0
2022-10-03,מס עתידי,הפקדה,93.2,100.0,0.0
2022-10-03,תכ.תלבונדשקלי,מכירה רצף,6508.0,362.15,23549.87
