date,security_name,transaction_type,quantity,amount_local_currency
2022-08-03,מס עתידי,משיכה,596.52,0.0
2022-08-04,מס לשלם,משיכה,588.1,0.0
2022-12-04,מס לשלם,משיכה,24.75,0.0
2022-07-05,מס עתידי,משיכה,6.04,0.0
2022-07-06,מס עתידי,משיכה,29.64,0.0
2022-10-06,מס עתידי,משיכה,93.2,0.0
2022-11-06,מס עתידי,משיכה,21.94,0.0
2022-12-06,מס לשלם,משיכה,34.06,0.0
2022-11-07,מס לשלם,משיכה,21.94,0.0
2022-08-11,מס לשלם,משיכה,137.5,0.0
2022-10-13,מס עתידי,משיכה,592.9,0.0
2022-12-13,מס לשלם,משיכה,31.26,0.0
2022-09-15,מס לשלם,משיכה,59.27,0.0
2022-09-18,מס עתידי,משיכה,533.7,0.0
2022-10-19,מס לשלם,משיכה,35.0,0.0
2022-06-20,מס לשלם,משיכה,27.18,0.0
2022-09-20,מס לשלם,משיכה,40.01,0.0
2022-12-20,מס לשלם,משיכה,36.94,0.0
2022-12-21,מס לשלם,משיכה,15.13,0.0
2022-08-22,מס לשלם,משיכה,31.0,0.0
2022-06-23,מס לשלם,משיכה,36.17,0.0
2022-11-23,מס עתידי,משיכה,63.96,0.0
2022-05-24,מס עתידי,משיכה,235.69,0.0
2022-07-24,מס לשלם,משיכה,172.48,0.0
2022-11-24,מס לשלם,משיכה,172.72,0.0
2022-07-26,מס עתידי,משיכה,53.09,0.0
2022-07-27,מס לשלם,משיכה,53.09,0.0
2022-10-27,מס לשלם,משיכה,36.88,0.0
2022-06-28,מס לשלם,משיכה,21.6,0.0
2022-07-28,מס לשלם,משיכה,97.5,0.0
2022-07-28,הכנס/תשלום מעוף,משיכה,2.0,0.0
2022-08-28,מס לשלם,משיכה,113.54,0.0
2022-08-28,מס עתידי,משיכה,65.88,0.0
2022-07-29,תP001580M207-35,משיכה פקיעה,2.0,0.0
2022-07-29,הכנס/תשלום מעוף,משיכה,-2.0,0.0
2022-08-29,מס עתידי,משיכה,7.06,0.0
2022-09-29,מס לשלם,משיכה,198.75,0.0
2022-11-29,מס לשלם,משיכה,78.12,0.0
2022-12-29,מס לשלם,משיכה,75.0,0.0
2022-08-30,מס לשלם,משיכה,96.79,0.0
2022-09-30,תP001560M209-35,משיכה פקיעה,3.0,0.0
2022-05-31,מס עתידי,משיכה,359.69,0.0
2022-05-31,מס עתידי,משיכה,8.33,0.0
2022-12-31,מס לשלם,משיכה,236.67,0.0
2023-01-01,מס עתידי,משיכה,235.81,0.0
2023-06-01,מס לשלם,משיכה,38.64,0.0
2023-09-03,מס לשלם,משיכה,36.05,0.0
2023-10-04,מס לשלם,משיכה,10.62,0.0
2023-06-05,מס לשלם,משיכה,31.95,0.0
2023-07-06,מס עתידי,משיכה,862.6,0.0
2023-06-07,מס לשלם,משיכה,10.68,0.0
2023-07-09,מס לשלם,משיכה,866.76,0.0
2023-08-09,מס עתידי,משיכה,2.03,0.0
2023-04-10,מס לשלם,משיכה,54.14,0.0
